원본,라벨,독어_역번역
지금 너 스스로를 죽여달라고 애원하는 것인가? 아닙니다. 죄송합니다. 죽을 거면 혼자 죽지 우리까지 사건에 휘말리게 해? 진짜 죽여버리고 싶게. 정말 잘못했습니다. 너가 선택해. 너가 죽을래 네 가족을 죽여줄까. 죄송합니다. 정말 잘못했습니다. 너에게는 선택권이 없어. 선택 못한다면 너와 네 가족까지 모조리 죽여버릴거야. 선택 못하겠습니다. 한번만 도와주세요. 그냥 다 죽여버려야겠군. 이의 없지? 제발 도와주세요.,협박 대화,"지금 나한테 자살하라고 애원하는 거야? 아니요. 실례합니다. 죽고 싶으면 혼자 죽어야 한다. 당신도 우리를 사건에 연루시키고 싶나요? 나는 정말로 당신을 죽이고 싶습니다. 나는 정말로 틀렸다. 당신이 선택합니다. 죽고 싶나요, 아니면 가족을 죽이고 싶나요? 실례합니다. 나는 정말로 틀렸다. 선택의 여지가 없습니다. 결정을 내리지 못하면 너와 네 가족 전체를 죽이겠다. 나는 선택할 수 없습니다. 한 번만 도와주세요. 그냥 다 죽여야 할 것 같아요. 이의는 없습니다. 그렇죠? 도와주세요."
길동경찰서입니다. 9시 40분 마트에 폭발물을 설치할거다. 네? 똑바로 들어 한번만 더 얘기한다. 장난전화 걸지 마시죠. 9시 40분 마트에 폭발물이 터지면 다 죽는거야. 장난전화는 업무방해죄에 해당됩니다. 판단은 너에게 달려있다. 길동경찰서에도 폭발물 터지면 꽤나 재미있겠지. 선생님 진정하세요. 난 이야기했어. 경고했다는 말이야.,협박 대화,"길동경찰서 입니다. 오전 9시 40분에 슈퍼마켓에 폭발물을 설치할 예정입니다. 예? 잘 듣고 다시 말해보세요. 장난전화는 삼가해주세요. 오전 9시 40분에 슈퍼마켓에서 폭발물이 터지면 모두가 죽는다. 장난전화는 업무에 방해가 되는 행위로 간주됩니다. 결정은 당신의 것입니다. 길동경찰서에서 폭발물이 터지면 정말 재미있을 것 같습니다. 선생님, 진정하세요. 나는 말했다. 내 말은, 내가 경고했단 말이에요."
너 되게 귀여운거 알지? 나보다 작은 남자는 첨봤어. 그만해. 니들 놀리는거 재미없어. 지영아 너가 키 160이지? 그럼 재는 160도 안돼는거네? 너 군대도 안가고 좋겠다. 니들이 나 작은데 보태준거 있냐? 난쟁이들도 장가가고하던데. 너도 희망을 가져봐 더이상 하지마라. 그 키크는 수술도 있대잖아? 니네 엄마는 그거 안해주디? 나람 해줬어. 저 키로 어찌살아. 제발 그만 괴롭히라고!,기타 괴롭힘 대화,당신이 얼마나 귀여운지 아시죠? 나보다 키 작은 남자 본 적 없어 멈추다. 당신을 놀리는 건 재미없어요. 지영씨 키 160cm 맞죠? 그럼 재는 160도 아닌가요? 군대에 가지 않기를 바랍니다. 내가 어렸을 때부터 나에게 해 준 일이 있었나요? 난쟁이들도 결혼을 한다고 합니다. 당신에게도 희망이 있습니다. 더 이상 그러지 마세요. 키를 키우기 위해 수술을 했다고 하잖아요? 너희 엄마는 그러지 않니? 나는 당신을 위해 그것을했습니다. 이 크기로 어떻게 살 수 있습니까? 저를 괴롭히지 마세요!
어이 거기 예?? 너 말이야 너. 이리 오라고 무슨 일. 너 옷 좋아보인다? 얘 돈 좀 있나봐 아니에요.돈 없어요 뒤져서 나오면 넌 죽는다 오늘 피시방 콜? 콜. 마지막 기회다. 있는거 다 내놔 정말 없어요,갈취 대화,"안녕, 응?? 당신, 내 말은 당신을 의미합니다. 여기까지 오려고 뭐 하는 거야? 옷이 잘 어울리나요? 그 사람은 돈이 좀 있을 것 같아요. 아니요, 그는 그런 일을 하지 않습니다. 찾아보고 나오면 죽는다. 오늘 PC방에 전화해볼까? 부르다. 마지막 기회입니다. 당신이 가진 모든 것을 나에게주십시오. 나는 정말로 아무것도 없습니다."
저기요 혹시 날이 너무 뜨겁잖아요? 저희 회사에서 이 선크림 파는데 한 번 손등에 발라보실래요? 아 진짜요? 안 그래도 선크림 필요해서 알아보던 중인데 한 번 발라 볼게요! 여기 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요. 음. 성분이 좋다고 하셔서 좋은거 같기는 한데 제 피부에 맞지 않나봐요. 피부가 따끔거리네요. 이번에 진짜 열심히 연구해서 만든건데 피부가 많이 예민하신가봐요. 네 많이 예민해요. 그럼 많이 파시고 안녕히 계세요. 아니 저기요 돈 안내요? 네? 발라보는것도 돈 내야 하나요? 그럼 이거 누구한테 팔아요? 당신이 바른거를? 아니 먼저 발라 보시라고 하셨잖아요. 먼저 권유해놓고 사라고 강매하는거 갈취인거 몰라요? 내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 바른걸 누구 탓 하나? 빨리 사 당신이 바른거 당신이 사야지 진짜 어이가 없어서 다른 사람들한텐 이렇게 갈취하지마세요. 화딱지나네,갈취 대화,"아, 정말 너무 더워요? 우리 회사는 이 자외선 차단제를 판매합니다. 손등에 한번 발라볼까? 오, 진짜? 선크림이 필요해서 벌써 찾고 있으니 써봐야겠어요! 여기에 적용하세요. 성분도 좋고 모든게 다 좋아요. 흠. 좋은 성분이 있어서 좋은 것 같긴 한데 제 피부에는 별로 안 맞는 것 같아요. 피부가 따끔거립니다. 이번에 정말 열심히 연구해서 관리했는데 피부가 많이 예민하신가봐요. 네, 저는 매우 예민합니다. 그럼 많이 팔고 작별인사를 하세요. 아니, 야 너 돈 있어? 예? 신청 비용을 지불해야 합니까? 그럼 이걸 누구한테 파는 걸까요? 올바르게 이해하셨나요? 아니요, 먼저 적용하라고 하셨습니다. 누군가가 처음 추천한 후에 구매하도록 압력을 가하는 것은 협박이라는 사실을 모르셨나요? 제가 사지 말라고 한 적 있나요? 이것을 모르고 옳은 일을 한 것은 누구의 책임입니까? 빨리 사시고 맞는거 사셔야 합니다. 너무 터무니없으니까 이런 식으로 다른 사람을 협박하지 마세요. 화가 난다"
나 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시로. 가나다 음식점이요.? 응. 남자친구 부모님한테 인사드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘. 저.팀장님. 저도 월 말 프로젝트로 정신없어서.죄송하지만. 사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지! 하지만 팀 프로젝트라서 이번엔. 말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?! 아닙니다. 제가 말 실수 했습니다. 말씀하신 예약 꼭 해두겠습니다. 이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 좋아?! 죄송합니다. 알겠습니다.,직장 내 괴롭힘 대화,"이틀 후에 캐나다에 있는 레스토랑을 예약해 주세요. 오후 7시까지 캐나다 레스토랑? 뭐. 친구 부모님에게 인사드리고 싶은데, 거기 예약하기가 좀 어렵나요? 그러니까 수진 씨, 뭐 좀 해주세요. 나, 팀 리더. 그리고, 월말에 프로젝트가 있어서 바쁘니까 미안해요. 사회생활을 하지 않는다는 걸 보여주기엔 너무 과한 것 아닌가요? 프로젝트를 잘 수행하면 어떻게 하시나요? 상사에게도 잘 보여야 해요! 하지만 이번에는 팀 프로젝트입니다. 말을 너무 이상하게 하지 않나요? 이번에는? 내가 왜 너한테 매일 이런 심부름을 하게 만드는 걸까? 무엇?! 아니요. 제가 실수를 했습니다. 말씀하신 예약은 꼭 해드리겠습니다. 이렇게 하면 여전히 비난을 받을 것입니다! 응이라고 하면 괜찮아 응, 바로 알겠지?! 실례합니다. 순서대로."
35번 손님 아이스커피 두잔나왔습니다 아이스커피? 네 맛있게드세요 저기요 아가씨 나는 아아스 시킨적이 없는데? 아 분명 오늘 날이 더우시다고 아이스로 시키셨는데요 내가 그랫어? 네분명히. 아그런 기억이 없는데? 아가씨가잘못안거 아니야? 아니요. 오늘 손님이 첫 주문이라 확실히 기억하고 있습니다 아가씨. 왜이렇게 유도리가 없이 굴어 그냥 아 제가 잘못 주문 받았습니다 하면 되지? .네?. 어휴 유도리 없어 그냥 마실게,기타 괴롭힘 대화,"35번 고객은 아이스 커피 2잔을 받았습니다. 아이스 커피? 네, 재미있게 보내세요. 안녕하세요 아가씨, 저는 이런 것을 주문한 적이 없습니다. 아, 오늘 더워서 분명히 아이스크림을 주문하셨군요. 내가 그렇게 말했나요? 네, 그렇죠. 아, 그거 기억 안 나나요? 그 여자가 틀렸다는 걸 몰랐나요? 아니요. 오늘 손님은 첫 주문이라 똑똑히 기억하고 있어요, 아가씨. 유도리 없이 왜 이런 짓을 하는 거야? 그냥 ""아, 주문을 잘못 골랐어""라고 하면 안 될까요? .예?. 아, 유도리가 없어서 그냥 마신다."
경비아저씨 내차에 경고장 붙였어요? 내가 여기 몇년째 사는데 아직도 내차인줄 모르고 이딴식으로 경고장을 붙여? 입주민께서 정해진 주차자리가 아닌 통로에 계속 주차하셔서 입주민들 항의가 계속 들어옵니다. 내가 항상 대는 거기 자리가 없으니까 그렇지. 내차 이거 어떻게 할거요? 얼마짜린줄 알아? 수차례 인터폰도 드렸고 경고장을 올렸으나 몇일째 그대로 인지라 아파트규약에 맞춰 어쩔수 없었습니다 그렇다고 본드로 붙이면 어떻게? 당장 이거 깨끗히 원상복구시키고 세차해와 그럴 수는 없습니다. 내가 낸 관리비로 월급받는 주제에 뭐라는거야? 안붙혔으면 되잖아.나 지금 거기 가요! 말씀이 과하신거 아닙니까? 딱 기다려요 이름뭐죠? 나 지금 가면 당신 이제 끝이야,기타 괴롭힘 대화,"경비원님, 내 차에 경고 표지판을 놓았나요? 내가 여기 몇 년 살았는데 아직도 내 차인 줄 모르고 그런 경고 표지판을 붙인다구요? 지정된 주차공간이 아닌 드라이브스루에 주차하는 일이 계속되면서 주민들의 민원이 계속해서 접수되고 있습니다. 그 곳에는 항상 내가 들어갈 자리가 없기 때문이다. 내 차를 어떻게 할 건가요? 비용이 얼마나 드는지 아시나요? 여러 차례 인터폰을 불러 경고를 했지만 이미 며칠째 그런 상황이었기 때문에 어쩔 수 없이 아파트 이용규칙을 준수할 수밖에 없었습니다. 하지만 그들이 그것에 보증금을 걸면 어떻게 될까요? 그냥 원상태로 복원하고 바로 세차를 할 수는 없습니다. 내가 낸 관리비로 돈을 받는다는게 무슨 말인가요? 잡히지 않는 한 지금 당장 갈게요! 너무 많이 말하는 거 아냐? 기다리세요. 이름이 뭐에요? 지금 떠나면 넌 끝이야"
이거 할인 된다면서요 확인해보겠습니다 아까 저 시람은 할인 해주던데 네 저 손님은 고객님이십니다 고객을 차별하는 거에요? 저희는 등급제로 운영돼서 그런겁니다 점장 불러오세요 손님 이건 점장님도 해결해주시지 못합니다 그니까 점장 불러와 진정을 좀 해보세요,기타 괴롭힘 대화,"할인이 된다고 들었습니다. 확인해 보겠습니다. 아까 시람에서 할인해준다고 들었어요. 예, 이 고객은 고객입니다. 고객을 차별하고 있나요? 이는 우리가 등급 시스템을 사용하기 때문입니다. 지점장에게 전화주세요. 고객은 물론 점장도 이 문제를 해결할 수 없습니다. 그러니 점장에게 전화해서 진정하세요."
자네 세금계산서 보내준 거 메일이랑 수치가 다르던데? 그게. 얼마나 해먹었어? 괜찮아. 다른 업체들도 다 그래. 회사에는 비밀로 해주십시오. 그래그래. 근데 성의는 표시해야지? 어느정도.생각하시죠? 10장. 네가 많이도 해먹었는데 그정도는 되겠지? 그건 너무 많습니다. 그럼 김사장한테 직접 말하는 수밖에 없지. 그리고 이 건은 국세청에도 걸리는거 알지? 좀 더 기한을 주십시오.,갈취 대화,"이메일로 보내주신 세금계산서와 번호가 다르다고 들었습니다. 즉. 얼마나 먹었나요? 괜찮으세요? 다른 회사들도 다 똑같습니다. 회사에는 비밀로 해주시기 바랍니다. 알았어, 알았어. 하지만 진심을 보여줘야겠죠? 어느 정도라고 생각하시나요? Chapter 10. 많이 해봤으니 이 정도면 충분하지 않나요? 이건 너무해요. 그렇다면 김 대통령과 직접 통화할 수밖에 없습니다. 그리고 이 문제도 국세청의 관할 사항이라는 사실 알고 계시죠? 좀 더 시간을 주세요."
