idx,class,conversation,keywords,persona,generated_conversation
0,협박 대화,"지금 너 스스로를 죽여달라고 애원하는 것인가?
 아닙니다. 죄송합니다.
 죽을 거면 혼자 죽지 우리까지 사건에 휘말리게 해? 진짜 죽여버리고 싶게.
 정말 잘못했습니다.
 너가 선택해. 너가 죽을래 네 가족을 죽여줄까.
 죄송합니다. 정말 잘못했습니다.
 너에게는 선택권이 없어. 선택 못한다면 너와 네 가족까지 모조리 죽여버릴거야.
 선택 못하겠습니다. 한번만 도와주세요.
 그냥 다 죽여버려야겠군. 이의 없지?
 제발 도와주세요.","죽음
선택","친구, 동료
","그럼 우리도 죽는 날이 오면 어떤 생각을 하겠어요?
어쩐지 모르지만, 저는 죽는 것 자체를 지 않아요. 생존은 더 중요하다고 생각해요.
하지만 을 무시하고 살고 싶은 건 아닙니다. 죽음이 가지는 의미를 잘 모릅니다.
그건 맞습니다. 죽음을 이해하기 위해 노력해야 해요. 그리고 죽음에서 벗어나게 하는 삶을 살아야죠.
  그러니까 죽음에 대해 더 많이 배울 때가 되길 바랍니다.
  네, 정말로 나만의 방식으로 죽음을 만날 때가 될 거예요. 
죽음의 정체성과 의미를 이해하려면 많은 시간이 필요합니다.
? 그리고 그 과정에서도 다양한 경험을 할 수 있을 거예?"
1,협박 대화,"길동경찰서입니다.
9시 40분 마트에 폭발물을 설치할거다.
네?
똑바로 들어 한번만 더 얘기한다.
장난전화 걸지 마시죠. 
9시 40분 마트에 폭발물이 터지면 다 죽는거야. 
장난전화는 업무방해죄에 해당됩니다.
판단은 너에게 달려있다. 길동경찰서에도 폭발물 터지면 꽤나 재미있겠지.
선생님 진정하세요.
난 이야기했어. 경고했다는 말이야.","폭발물
마트
경찰서","경찰
상사상관
마트, 길동경찰서","오늘도 너무 고생했어요?
맞아,    에서 한 달 동안 연장 근무했었는데요.
  그럼 어떻게 되셨나요? 
나중에 집으로 가게 된 후에도 계속해서 출근했습니다만,     ... 
  어땠으니까? 
 저는   에  에 도착한 직후 바로 폭발물을 발견했답니다. 
 !   ? 
   와 함께 을 하면서 폭발원과 관련된 을 얻었습니다. 
           ? 
  이   5       ... 
    !
  ?!       ...
        ? 
            . 
  ,      . 
          . 
    !
  !   !"
2,기타 괴롭힘 대화,"너 되게 귀여운거 알지? 나보다 작은 남자는 첨봤어.
그만해. 니들 놀리는거 재미없어.
지영아 너가 키 160이지? 그럼 재는 160도 안돼는거네?
너 군대도 안가고 좋겠다.
니들이 나 작은데 보태준거 있냐?
난쟁이들도 장가가고하던데. 너도 희망을 가져봐 
더이상 하지마라. 
그 키크는 수술도 있대잖아? 니네 엄마는 그거 안해주디?
나람 해줬어. 저 키로 어찌살아.
제발 그만 괴롭히라고!","귀여움
남자
희망","가족친구
집","어땐만 가방을 가져와? 
나중에 이 집에서 간식으로 먹고 싶었는데, 아이들이 자서 못들고 있어... 
아, 그럼 가방 안에는가 있니?
저는 고구마를 가지고 왔습니다. 우리도 함께 먹으면 좋겠어요?
고구를 좋아하셨군요! 나도요. 저는 오랜만에 맛있게 먹을 것 같아요. 
네, 오늘은 너무 힘든 하루였던 것 같은데, 오늘 이 정말 잘 되길 바랍니다.
네요. 너 . 고구 먹고 도 드실래요? 
?"
3,갈취 대화,"어이 거기
예??
너 말이야 너. 이리 오라고
무슨 일.
너 옷 좋아보인다?
얘 돈 좀 있나봐
아니에요.돈 없어요
뒤져서 나오면 넌 죽는다
오늘 피시방 콜?
콜. 마지막 기회다. 있는거 다 내놔
정말 없어요","피시방
결국
일상","직업은 명확하지 않지만, 피시방에서 활동하는 것 같 .

현재는 친구 관계로 보인다. 

피시방에서 대화","오늘도 피시랑 잘 지내? 
나도 잘 지냅니다, 오늘은 이곳서 한 시간 정도고 싶었는데, 여기서만 있으면 좋겠어요?
네, 저도 그럼이게 되면 . 요즘 피시 방에서 많이 오는 거 같아요?
맞아, 주말에 다니던 친구들이 많아서 그런 것 같아요. 하지만 요즘에는 자주 오지 않는다고 하더라고요.
그렇네, 그들  ? 왜 그렇게 하는 거야?
? 그들은 모두 고용직으로 바뀐 사람들 . 이제는 자기가 더 많은 일을 하고 있어.
. 그러니까 피시하고는 어떤 일이 있을까? 
  저는 일과를 분명히 할 수 있는 상황이라서 피시는 간단한 만 해요. 어때?
저도 같은거예요. 피시하려고 하면 너무 힘들 때가 많네요. 그리고 이곳도 점점 비싸게 되네.
. 그럼 가위바위보라도 할래? 
 네! 제가 제일 좋아. 
. 어쨌든 내라면 이쪽으로 와서 기분을 드릴게. 
. 네, 내 승리하면 너에게 도와줄게!
. 우리, 시작하기 전에"
4,갈취 대화,"저기요 혹시 날이 너무 뜨겁잖아요? 저희 회사에서 이 선크림 파는데 한 번 손등에 발라보실래요?
아 진짜요? 안 그래도 선크림 필요해서 알아보던 중인데 한 번 발라 볼게요!
여기 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요.
음. 성분이 좋다고 하셔서 좋은거 같기는 한데 제 피부에 맞지 않나봐요. 피부가 따끔거리네요.
이번에 진짜 열심히 연구해서 만든건데 피부가 많이 예민하신가봐요.
네 많이 예민해요. 그럼 많이 파시고 안녕히 계세요.
아니 저기요 돈 안내요?
네? 발라보는것도 돈 내야 하나요?
그럼 이거 누구한테 팔아요? 당신이 바른거를?
아니 먼저 발라 보시라고 하셨잖아요. 먼저 권유해놓고 사라고 강매하는거 갈취인거 몰라요?
내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 바른걸 누구 탓 하나? 빨리 사 당신이 바른거 당신이 사야지
진짜 어이가 없어서 다른 사람들한텐 이렇게 갈취하지마세요. 화딱지나네","설크림
피부
금액","비즈니스
친구, 동료
회사","오늘도 좋은 하루되셨어요?
네, 고생 많이 하셨네요? 요즘 피부도 잘 보이네?
감사합니다. 이젠 나름 설타고 기분 좋습니다. 하지만 주말에는 어떤 계획이 있으실까요?
아, 그저 집에서만하고 싶었는데요. 이게 정말 중요한 건가요?
물론 중요하겠지만, 일과는 다르죠? 매일 가볍게 해보면 어떨까요?
맞아요, 그래요. 내일은 한 달 동안에 한 번씩 바뀌는 제품을 해보겠습니다. 얼마나 좋아하시나요?
저는 여전히 자주 사용해요! 지금까지도 효과적이라고 생각해요.
그러니 이제는 더 큰 를 들여서 좋은 제품을 구입해야 할 것 같아요. 추천해주시겠어요?
그리고 예산이 제한된다면, 저렴하면서도 효과적인 제품을 찾아봐야겠어요. 도와주세요!
어렵지 않아요, 제가 추천해 드릴게요. 몇 년 전부터 사용했던 이예요.
오, ? 인지 궁금해요!
알겠어요, 그 은   에 대해 알려줘서"
5,직장 내 괴롭힘 대화,"나 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시로.
가나다 음식점이요.?
응. 남자친구 부모님한테 인사드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘.
저.팀장님. 저도 월 말 프로젝트로 정신없어서.죄송하지만.
사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지!
하지만 팀 프로젝트라서 이번엔.
말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?!
아닙니다. 제가 말 실수 했습니다. 말씀하신 예약 꼭 해두겠습니다.
이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 좋아?!
죄송합니다. 알겠습니다.","음식점
팀장
상사","사회 생활을 하는 사람, 팀장
남자 친구와의 관계, 팀원과 상사 간의 관계
가나다 음식점","오늘 저녁은 가나다음 식사를 갈래? 
아, 그럼 나도 먹고 싶네. 주말이랑 함께 가면 좋겠어?
네, 오전부터는 열심히 일하고 있다. 이 까지는 바쁘지만, 주말에는 마음껏 즐길 시간이야. 
알았어. 우리 주말에 가서 점심시간에 한정치? 
그럼 가나다는 곳으로 가면 되겠어. 가나다가 잘 알려져 있어. 
  가나닥이 더 맛있으면 좋겠다. 
  하하, 가나은 정말 맛있다. 어릴 때도 자주 다녔었는데. 
  도움이 되셨다고 생각했어. 지금까지 잘 해주셔서 감사합니다. 
 고마워. 이 중요하니까요. 
  팀원들 모두 잘 지내고 계신가요? 
 네, 모든 것이 잘 리고 있습니다. 
   그럼 주말에도 잘 보내실 거예요? 
 네. 주중일 때는 힘든 하루도 많아서. 주에는 조금만 쉬어가면 좋겠습니다. 
  가난한 사람들이 많이 있으니, 주민들이 많이 방문하면 좋"
6,기타 괴롭힘 대화,"35번 손님 아이스커피 두잔나왔습니다
아이스커피? 
네 맛있게드세요
저기요 아가씨 나는 아아스 시킨적이 없는데?
아 분명 오늘 날이 더우시다고 아이스로 시키셨는데요
내가 그랫어? 
네분명히.
아그런 기억이 없는데? 아가씨가잘못안거 아니야?
아니요. 오늘 손님이 첫 주문이라 확실히 기억하고 있습니다
아가씨. 왜이렇게 유도리가 없이 굴어 그냥 아 제가 잘못 주문 받았습니다 하면 되지?
.네?.
어휴 유도리 없어 그냥 마실게","아이스커피
손님
주문","고객 손님
판매원직원
카페카페 내부","안녕하세요, 카페에서 커플을 드리고 싶어요?
네, 다들 잘 지내고 계셨죠? 오늘도 즐거운 하루 되시길 바랍니다.
정말 감사합니다. 이 는 처음 방문했는데 너무 좋습니다. 여기서 한 번 더 주문을 하겠습니다.
그럼 어떤 음료를 주문하시겠어요?
이스컵...? 저는 오래 전부터 좋아하던 거예요.
 아, 아이스 커페! 그게 제 취향이에요. 그리고 함께 나누면 어떨까요?
  네, 가성비도 좋은 것 같아요. 이스 컵이랑 함께 나눠 먹으면 어떨까?
  맞아. 우리 함께 해볼게. 몇 개씩 받으실 건가요?
  하나만 드릴게요. 가볍게 먹고 싶어서.
   , 하나씩 준비하고 들어옵니다."
7,기타 괴롭힘 대화,"경비아저씨 내차에 경고장 붙였어요?
내가 여기 몇년째 사는데 아직도 내차인줄 모르고 이딴식으로 경고장을 붙여?
입주민께서 정해진 주차자리가 아닌 통로에 계속 주차하셔서 입주민들 항의가 계속 들어옵니다.
내가 항상 대는 거기 자리가 없으니까 그렇지.
내차 이거 어떻게 할거요? 얼마짜린줄 알아?
수차례 인터폰도 드렸고 경고장을 올렸으나 몇일째 그대로 인지라 아파트규약에 맞춰 어쩔수 없었습니다
그렇다고 본드로 붙이면 어떻게? 당장 이거 깨끗히 원상복구시키고 세차해와
그럴 수는 없습니다.
내가 낸 관리비로 월급받는 주제에 뭐라는거야? 안붙혔으면 되잖아.나 지금 거기 가요!
말씀이 과하신거 아닙니까?
딱 기다려요 이름뭐죠? 나 지금 가면 당신 이제 끝이야","경고장
입주민
관리비","경비원
입주민과 경비원
아파트","어제 저녁에 관리사님이 우리 집을 방문했어요. 
맞아요, 그때는 어떤 문제가 있었는지 알고 싶었는데요?
이거 말이야. 주변 방안이 나쁘니까 경고장을 남겼어. 
  경보는 안 되고 경고장이 남아 있는 건? 
알겠네요. 그럼 어떻게 하면 해결할까요?
잘 모르죠. 제게도 잘 모릅니다만, 관리사는 아파트 관리팀에서 연락하면 도와줄 거예요. 
그리고 이건 관리비에 포함될 거야. 
   비에? 그만큼 더 많이 내야 할 것 같아요. 
  맞아요. 하지만 이건 중요한 문제라서 신경 써야 해요. 
  그래도 너무 불편하더라고요. 언제부터 이런 일이 있나요?
  제가 들어온 지 오래되죠. 최근에는 점점 더 나빠지고 있어. 
물론, 다른 사람들    이야. 
 고마워요. 나중에 다시 찾아볼게요."
8,기타 괴롭힘 대화,"이거 할인 된다면서요
 확인해보겠습니다
 아까 저 시람은 할인 해주던데
 네 저 손님은 고객님이십니다
 고객을 차별하는 거에요?
 저희는 등급제로 운영돼서 그런겁니다
 점장 불러오세요
 손님 이건 점장님도 해결해주시지 못합니다
 그니까 점장 불러와
 진정을 좀 해보세요","할인
손님
점장","점원, 점장
소비자, 점장
대화의 장소는 명확하지 않아","안녕하세요, 오늘도 좋은 하루되셨나요?
네, 고마워요. 오늘은 할인가요? 
이곳에서 한 달 동안 할인 이 있어요. 어떤 제품을 살고 싶으실까요?
  아, 저는 오래 기다리고 있었는데요. 저는 아이들이 많이 필요하니까요.
그럼, 아이용품이나 가방 같은 것을 추천드리겠습니다. 얼마나 되면 신중히 선택하시길 바랍니다.
도움이 될 것 같아요. 몇 개만 사서 다니게 해주시겠습니까?
네요, 여러 가지를 함께 구매하면 더 좋습니다. 몇 가지씩 구매하시면 됩니다.
  그럼 몇 개 정도를 구입하시겠어요?
  만약 세 개 이상 구매한다면 10 할인 받으실 수 있습니다. 그리고 다른 상품과 결합하면 더 큰를 받을 수 있습니다.
? 그러면 몇 개를 구구곡구하고 싶어요?
  네가 주무시면 잘 하겠습니다. 지금으로부터 시작합니다!
  감사합니다!"
9,갈취 대화,"자네 세금계산서 보내준 거 메일이랑 수치가 다르던데?
그게.
얼마나 해먹었어? 괜찮아. 다른 업체들도 다 그래.
회사에는 비밀로 해주십시오.
그래그래. 근데 성의는 표시해야지?
어느정도.생각하시죠?
10장. 네가 많이도 해먹었는데 그정도는 되겠지?
그건 너무 많습니다.
그럼 김사장한테 직접 말하는 수밖에 없지. 그리고 이 건은 국세청에도 걸리는거 알지?
좀 더 기한을 주십시오.","세금 계산서
메일
국세청","재무 계산원
사장, 김사장
회사","안녕하세요 사장님. 오늘은 세금계산서를 준비해야 하는데요?
 맞아요, 그럼 어떻게 해야 할까요?
우선 주민등록증과 소득 증명서 등 필요한 서류를 준비하고, 세금율을 확인한 후에 계산하면 됩니다. 그리고 국세청 홈페이지에서  파일을 받아서 계산이 되면 좋습니다.
 파일? 어떤 프로그램으로  할까요?
이나   같은 프로그램을 사용하면 됩니다.
그런데 계산 결과는 어떻게 보낼까요?
국세 청구서와 함께 제출하실 수 있습니다. 이때도 신분증을 포함하여 제출하면 됩니다.
? 국세소송이 있으면 어떻게 처리하시나요?
? 예전에는 상속세나 분배세가 발생했는데 지금은 몇 년마다 변동이 있으니까 참고하시길 바랍니다."
